City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,Alice Springs,-23.7,133.8833,76.21,27,0,9.22,AU,2022-09-28 03:28:56
303,Alyangula,-13.8483,136.4192,75.07,94,40,6.91,AU,2022-09-28 03:28:56
304,Rocha,-34.4833,-54.3333,49.66,90,6,6.22,UY,2022-09-28 03:28:57
305,Taunggyi,20.7833,97.0333,73.56,69,87,3.65,MM,2022-09-28 03:28:57
306,Baykit,61.67,96.37,35.13,65,100,6.58,RU,2022-09-28 03:28:57
307,Phuket,8.0,98.25,86.22,74,40,13.8,TH,2022-09-28 03:26:10
308,The Pas,53.8251,-101.2541,53.62,71,0,11.5,CA,2022-09-28 03:28:58
309,Clyde River,70.4692,-68.5914,28.63,93,0,4.61,CA,2022-09-28 03:28:58
310,Rockingham,42.9668,-71.0995,57.2,86,4,4.34,US,2022-09-28 03:28:59
311,Gallup,35.5281,-108.7426,62.44,51,0,5.75,US,2022-09-28 03:28:59
312,Nantucket,41.2835,-70.0995,64.51,77,0,8.05,US,2022-09-28 03:25:54
313,Miramar,25.9873,-80.2323,82.42,90,100,26.46,US,2022-09-28 03:28:59
314,Salinopolis,-0.6136,-47.3561,78.51,86,19,10.09,BR,2022-09-28 03:24:15
315,Southwick,42.0548,-72.7704,56.55,87,100,0.0,US,2022-09-28 03:28:59
316,Tostedt,53.2833,9.7167,44.15,94,100,4.47,DE,2022-09-28 03:29:00
317,Vikhorevka,56.1201,101.1636,33.39,99,100,3.67,RU,2022-09-28 03:29:00
318,Nikolayevsk-Na-Amure,53.1406,140.73,52.74,62,66,13.04,RU,2022-09-28 03:29:00
319,South Valley,35.0101,-106.6781,72.05,46,0,5.75,US,2022-09-28 03:29:01
320,Velyka Bahachka,49.7912,33.7226,54.88,97,90,5.21,UA,2022-09-28 03:29:01
321,Mahenge,-8.6833,36.7167,79.68,31,100,4.83,TZ,2022-09-28 14:23:45
322,Amapa,1.0,-52.0,91.94,42,100,4.21,BR,2022-09-28 14:23:45
323,Iquique,-20.2208,-70.1431,59.04,61,0,7.11,CL,2022-09-28 14:20:59
324,Vostok,46.4856,135.8833,48.79,85,89,2.39,RU,2022-09-28 14:23:45
325,Ambon,-3.6954,128.1814,76.23,16,20,5.75,ID,2022-09-28 14:23:46
326,Buchmany,51.0689,28.0421,55.17,81,99,10.58,UA,2022-09-28 14:23:46
327,Narsaq,60.9167,-46.05,43.02,88,100,2.24,GL,2022-09-28 14:23:46
328,Marzuq,14.4,46.4667,88.84,17,7,8.5,YE,2022-09-28 14:23:46
329,Hamilton,39.1834,-84.5333,55.78,80,0,9.22,US,2022-09-28 14:20:44
330,Cartagena,10.3997,-75.5144,78.42,89,75,5.75,CO,2022-09-28 14:21:11
331,Upernavik,72.7868,-56.1549,32.13,99,100,8.03,GL,2022-09-28 14:23:47
332,Cap Malheureux,-19.9842,57.6142,71.47,64,1,7.0,MU,2022-09-28 14:23:47
333,Viedma,-40.8135,-62.9967,65.01,28,0,13.04,AR,2022-09-28 14:23:47
334,Borskoye,53.0333,51.7167,49.44,85,100,16.44,RU,2022-09-28 14:23:48
335,Yucca Valley,34.1142,-116.4322,79.07,40,1,3.0,US,2022-09-28 14:23:48
336,Bereda,43.2686,-7.5406,61.41,90,99,8.14,ES,2022-09-28 14:23:48
337,Palmer,42.1584,-72.3287,63.5,68,20,6.91,US,2022-09-28 14:23:48
