City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
121,Iqaluit,63.7506,-68.5145,33.53,scattered clouds,69,40,20.71,CA
122,Qadirpur Ran,30.2924,71.6712,87.69,clear sky,27,0,7.56,PK
123,Albanel,48.8832,-72.4487,48.34,few clouds,61,17,9.22,CA
124,Samdrup Jongkhar,26.9167,91.6167,69.49,few clouds,85,11,5.95,BT
125,Miri,4.4148,114.0089,80.74,scattered clouds,94,40,3.44,MY
126,Chiredzi,-21.05,31.6667,81.07,clear sky,24,0,5.97,ZW
127,Korla,41.7597,86.1469,56.1,overcast clouds,29,100,8.41,CN
128,Tooele,40.5308,-112.2983,61.23,clear sky,58,0,3.44,US
129,Ostrovnoy,68.0531,39.5131,35.62,overcast clouds,96,100,11.74,RU
130,Kapaa,22.0752,-159.319,75.18,light rain,94,100,4.61,US
131,Havoysund,70.9963,24.6622,43.03,broken clouds,66,63,10.16,NO
132,Suleja,9.1758,7.1808,85.19,light rain,86,53,2.84,NG
133,Clyde River,70.4692,-68.5914,32.23,broken clouds,69,75,16.11,CA
134,Banda Aceh,5.5577,95.3222,80.01,overcast clouds,77,99,9.31,ID
135,Cherskiy,68.75,161.3,29.61,light snow,98,100,2.57,RU
136,Puerto Escondido,15.85,-97.0667,85.03,clear sky,65,0,5.75,MX
137,Fairbanks,64.8378,-147.7164,43.3,overcast clouds,87,100,0.0,US
138,Asau,46.4333,26.4,69.28,overcast clouds,61,100,4.56,RO
139,Belaya Gora,68.5333,146.4167,23.92,overcast clouds,94,100,3.78,RU
140,Itarema,-2.9248,-39.9167,86.52,few clouds,54,24,19.51,BR
141,Yulara,-25.2406,130.9889,55.8,overcast clouds,73,89,14.27,AU
142,Mount Gambier,-37.8333,140.7667,47.14,clear sky,96,5,4.63,AU
143,Awjilah,29.1081,21.2869,95.92,clear sky,14,0,10.33,LY
144,Sinnamary,5.3833,-52.95,86.36,broken clouds,66,75,11.83,GF
145,Aljezur,37.3191,-8.8033,74.62,broken clouds,44,70,3.31,PT
146,Georgetown,5.4112,100.3354,78.89,few clouds,88,20,5.01,MY
147,Arbon,47.5167,9.4333,55.47,light rain,93,100,10.36,CH
148,Port Macquarie,-31.4333,152.9167,53.89,broken clouds,78,73,6.46,AU
149,Pimenta Bueno,-11.6725,-61.1936,98.92,scattered clouds,31,25,3.4,BR
150,Henties Bay,-22.116,14.2845,57.9,clear sky,85,6,8.23,NA
151,Saint George,37.1041,-113.5841,77.79,clear sky,29,0,5.99,US
152,Koulamoutou,-1.1303,12.4736,74.32,light rain,94,86,1.14,GA
153,Beringovskiy,63.05,179.3167,40.41,overcast clouds,86,100,26.44,RU
154,Capreol,46.706,-80.9225,54.55,overcast clouds,82,100,13.8,CA
155,Uitenhage,-33.7576,25.3971,62.19,broken clouds,77,67,5.06,ZA
156,Kalmunai,7.4167,81.8167,82.54,overcast clouds,69,93,4.14,LK
157,Kodinsk,58.6881,99.1844,29.8,overcast clouds,75,100,3.42,RU
158,Nuuk,64.1835,-51.7216,36.21,broken clouds,87,75,9.22,GL
159,Ocampo,21.65,-101.5,66.13,few clouds,23,19,8.43,MX
160,Amahai,-3.3333,128.9167,77.74,broken clouds,87,65,1.45,ID
161,Meulaboh,4.1363,96.1285,77.58,overcast clouds,85,100,5.23,ID
162,Irbeyskoye,55.6428,95.4522,29.88,light snow,97,100,7.78,RU
163,Kempsey,-31.0833,152.8333,53.94,overcast clouds,85,91,1.99,AU
164,Vardo,70.3705,31.1107,37.38,few clouds,81,20,4.61,NO
165,Dunedin,-45.8742,170.5036,45.81,few clouds,76,23,3.02,NZ
166,Sai Buri,6.7013,101.6168,76.26,overcast clouds,84,89,7.14,TH
167,Port Hardy,50.6996,-127.4199,48.38,fog,100,75,0.0,CA
168,Alcacer Do Sal,38.3733,-8.5144,82.24,broken clouds,20,60,4.99,PT
169,Castro,-24.7911,-50.0119,68.74,broken clouds,70,84,6.49,BR
170,Cidreira,-30.1811,-50.2056,66.04,broken clouds,72,74,13.71,BR
171,Mezhdurechensk,53.6942,88.0603,26.2,overcast clouds,97,90,2.44,RU
172,Uttaradit,17.6667,100.5,71.15,overcast clouds,99,99,0.09,TH
173,Mandiana,10.6333,-8.6833,84.96,light rain,69,67,1.3,GN
174,Lewistown,40.5992,-77.5714,58.14,overcast clouds,90,100,8.05,US
175,Chokurdakh,70.6333,147.9167,22.62,overcast clouds,91,100,4.54,RU
176,Faanui,-16.4833,-151.75,77.14,broken clouds,70,65,8.37,PF
177,Ust-Omchug,61.15,149.6333,16.77,overcast clouds,94,100,4.36,RU
178,Saint-Philippe,-21.3585,55.7679,71.19,scattered clouds,77,41,11.07,RE
179,Tuatapere,-46.1333,167.6833,34.07,few clouds,94,23,4.12,NZ
180,Riyadh,24.6877,46.7219,89.74,clear sky,12,0,8.99,SA
